X,Y,group,Species 1,Species 2,Author
0.405753742,1261.23711,4,BaF2,NaF,MSTDB-TC V3.1
0.428054616,1242.59495,4,BaF2,NaF,MSTDB-TC V3.1
0.450523531,1224.51049,4,BaF2,NaF,MSTDB-TC V3.1
0.473093344,1206.77141,4,BaF2,NaF,MSTDB-TC V3.1
0.495682787,1189.10048,4,BaF2,NaF,MSTDB-TC V3.1
0.518246378,1171.33986,4,BaF2,NaF,MSTDB-TC V3.1
0.540760057,1153.40761,4,BaF2,NaF,MSTDB-TC V3.1
0.563199429,1135.22356,4,BaF2,NaF,MSTDB-TC V3.1
0.585539043,1116.70812,4,BaF2,NaF,MSTDB-TC V3.1
0.607752448,1097.78377,4,BaF2,NaF,MSTDB-TC V3.1
0.612176027,1093.94465,4,BaF2,NaF,MSTDB-TC V3.1
0.99999,1093.94465,4,BaF2,NaF,MSTDB-TC V3.1
1.00E-05,1480.0292,1,BaF2,UF4,MSTDB-TC V3.1
0.000211029,1481.40062,1,BaF2,UF4,MSTDB-TC V3.1
0.005098903,1515.72512,1,BaF2,UF4,MSTDB-TC V3.1
0.009735121,1550.11798,1,BaF2,UF4,MSTDB-TC V3.1
0.014139919,1584.57042,1,BaF2,UF4,MSTDB-TC V3.1
0.016005412,1599.71482,1,BaF2,UF4,MSTDB-TC V3.1
0.041004912,1599.71482,1,BaF2,UF4,MSTDB-TC V3.1
0.044529911,1599.71482,1,BaF2,UF4,MSTDB-TC V3.1
0.043683792,1600.46097,1,BaF2,UF4,MSTDB-TC V3.1
0.022699201,1619.48394,1,BaF2,UF4,MSTDB-TC V3.1
0.001991023,1639.09165,1,BaF2,UF4,MSTDB-TC V3.1
1.00E-05,1640.99016,1,BaF2,UF4,MSTDB-TC V3.1
1.00E-05,1599.71482,2,BaF2,UF4,MSTDB-TC V3.1
0.016005412,1599.71482,2,BaF2,UF4,MSTDB-TC V3.1
0.016693047,1598.69836,2,BaF2,UF4,MSTDB-TC V3.1
0.033343563,1572.59111,2,BaF2,UF4,MSTDB-TC V3.1
0.048887652,1545.17928,2,BaF2,UF4,MSTDB-TC V3.1
0.063508525,1516.78924,2,BaF2,UF4,MSTDB-TC V3.1
0.077547513,1487.82924,2,BaF2,UF4,MSTDB-TC V3.1
0.091358275,1458.65493,2,BaF2,UF4,MSTDB-TC V3.1
0.1052374,1429.54428,2,BaF2,UF4,MSTDB-TC V3.1
0.119389457,1400.69235,2,BaF2,UF4,MSTDB-TC V3.1
0.133938744,1372.23032,2,BaF2,UF4,MSTDB-TC V3.1
0.148953791,1344.24644,2,BaF2,UF4,MSTDB-TC V3.1
0.164465095,1316.79824,2,BaF2,UF4,MSTDB-TC V3.1
0.18047596,1289.91817,2,BaF2,UF4,MSTDB-TC V3.1
0.196968358,1263.61493,2,BaF2,UF4,MSTDB-TC V3.1
0.213905519,1237.87163,2,BaF2,UF4,MSTDB-TC V3.1
0.231226931,1212.63445,2,BaF2,UF4,MSTDB-TC V3.1
0.24629727,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.27129677,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.29629627,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.32129577,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.34629527,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.37129477,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.39629427,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.42129377,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.44190616,1191.37228,2,BaF2,UF4,MSTDB-TC V3.1
0.442790862,1190.7197,2,BaF2,UF4,MSTDB-TC V3.1
0.463243333,1170.5928,2,BaF2,UF4,MSTDB-TC V3.1
0.471737339,1157.75403,2,BaF2,UF4,MSTDB-TC V3.1
0.478746957,1143.26466,2,BaF2,UF4,MSTDB-TC V3.1
0.488357825,1110.95444,2,BaF2,UF4,MSTDB-TC V3.1
0.493590477,1076.72972,2,BaF2,UF4,MSTDB-TC V3.1
0.496386789,1041.94936,2,BaF2,UF4,MSTDB-TC V3.1
0.497916322,1007.01493,2,BaF2,UF4,MSTDB-TC V3.1
0.498777757,972.035711,2,BaF2,UF4,MSTDB-TC V3.1
0.498910999,964.354307,2,BaF2,UF4,MSTDB-TC V3.1
0.99999,964.354307,2,BaF2,UF4,MSTDB-TC V3.1
1.00E-05,1599.71482,3,BaF2,UF4,MSTDB-TC V3.1
0.0250095,1599.71482,3,BaF2,UF4,MSTDB-TC V3.1
0.044529911,1599.71482,3,BaF2,UF4,MSTDB-TC V3.1
0.045471746,1599.24438,3,BaF2,UF4,MSTDB-TC V3.1
0.069054742,1587.63029,3,BaF2,UF4,MSTDB-TC V3.1
0.092688846,1576.22163,3,BaF2,UF4,MSTDB-TC V3.1
0.116345844,1564.90637,3,BaF2,UF4,MSTDB-TC V3.1
0.139998531,1553.57346,3,BaF2,UF4,MSTDB-TC V3.1
0.163619104,1542.11002,3,BaF2,UF4,MSTDB-TC V3.1
0.187176703,1530.39533,3,BaF2,UF4,MSTDB-TC V3.1
0.210634568,1518.29471,3,BaF2,UF4,MSTDB-TC V3.1
0.233946662,1505.65398,3,BaF2,UF4,MSTDB-TC V3.1
0.257053584,1492.29525,3,BaF2,UF4,MSTDB-TC V3.1
0.279877733,1478.01543,3,BaF2,UF4,MSTDB-TC V3.1
0.302319426,1462.59316,3,BaF2,UF4,MSTDB-TC V3.1
0.324255472,1445.80537,3,BaF2,UF4,MSTDB-TC V3.1
0.345536685,1427.43964,3,BaF2,UF4,MSTDB-TC V3.1
0.365994504,1407.3234,3,BaF2,UF4,MSTDB-TC V3.1
0.385458743,1385.35953,3,BaF2,UF4,MSTDB-TC V3.1
0.403785688,1361.55502,3,BaF2,UF4,MSTDB-TC V3.1
0.420889519,1336.02863,3,BaF2,UF4,MSTDB-TC V3.1
0.436765951,1308.99272,3,BaF2,UF4,MSTDB-TC V3.1
0.451498571,1280.71614,3,BaF2,UF4,MSTDB-TC V3.1
0.465246621,1251.48383,3,BaF2,UF4,MSTDB-TC V3.1
0.478200437,1221.54897,3,BaF2,UF4,MSTDB-TC V3.1
0.490158191,1191.37228,3,BaF2,UF4,MSTDB-TC V3.1
0.465158691,1191.37228,3,BaF2,UF4,MSTDB-TC V3.1
0.44190616,1191.37228,3,BaF2,UF4,MSTDB-TC V3.1
0.441967248,1189.97489,3,BaF2,UF4,MSTDB-TC V3.1
0.443519753,1155.04245,3,BaF2,UF4,MSTDB-TC V3.1
0.445121866,1120.11439,3,BaF2,UF4,MSTDB-TC V3.1
0.446775219,1085.19102,3,BaF2,UF4,MSTDB-TC V3.1
0.448481421,1050.27263,3,BaF2,UF4,MSTDB-TC V3.1
0.45024203,1015.35953,3,BaF2,UF4,MSTDB-TC V3.1
0.452058533,980.452052,3,BaF2,UF4,MSTDB-TC V3.1
0.453932306,945.550503,3,BaF2,UF4,MSTDB-TC V3.1
0.45586457,910.655206,3,BaF2,UF4,MSTDB-TC V3.1
0.457856333,875.766466,3,BaF2,UF4,MSTDB-TC V3.1
0.459908317,840.884568,3,BaF2,UF4,MSTDB-TC V3.1
0.462020866,806.009757,3,BaF2,UF4,MSTDB-TC V3.1
